address,epoch_245_confirmation_minus_effective_reward_gnk,epoch_246_confirmation_minus_effective_reward_gnk,epoch_247_confirmation_minus_effective_reward_gnk,epoch_248_confirmation_minus_effective_reward_gnk,epoch_249_confirmation_minus_effective_reward_gnk,epoch_250_confirmation_minus_effective_reward_gnk,epoch_251_confirmation_minus_effective_reward_gnk,epoch_252_confirmation_minus_effective_reward_gnk,epoch_253_confirmation_minus_effective_reward_gnk,epoch_254_confirmation_minus_effective_reward_gnk,epoch_255_confirmation_minus_effective_reward_gnk,total_confirmation_minus_effective_reward_gnk
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,,,,,,,0,0,0,0,0,0
gonka1edyd5lny4esrc35f6egjukmnfseyyyj4vn54mc,0,,,,,,,,,,,0
gonka1ecercvenlsnghx4yakvdpdq2mantyh5ythhn29,,0E-9,,,,,,,,,,0E-9
gonka1e94a7r2tn3n8ewa3mha3vjnq2dkvgt5stfqgqg,,0E-9,,,,,,,,,,0E-9
gonka1e38cgywjkf4hejnf9utmpguq3qug0s5rd45kqm,,,0E-9,,,,,,,,,0E-9
gonka1dhn7hjn6udpyv6gkhfulnalufv4947a4e9kyne,0,,,,,,,,,,,0
gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,,,,,,,0,0,0,0,0,0
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,0,,,,,,,,,,,0
gonka1975m3w08ywrc89aqcr9m8z6z70a38jf64vwte8,,0E-9,,,,,,,,,,0E-9
gonka18tm9tu9rak460pjdpj6xvfeffk474h6xhgme3c,0E-9,,,,,,,,,,,0E-9
gonka17akw9frq5grupdh9fwtc4mym3fgcujf9esdmta,0,,,,,,,,,,,0
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,,,,0,0E-9,0,0,0E-9,,0,,0E-9
gonka14wp5g2auyarncnwk6ufl8stmyrlgzx0l0d3f80,0,,,,,,,,,,,0
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,,,,,,0,,0E-9,,,,0E-9
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,0,0E-9,0,,,,,,,,,0E-9
gonka12vq65qqgep5x2zvjxqzqtnsw2hpyz92czen8z5,,0E-9,,,,,,,,,,0E-9
gonka12fdlw5g8wex6v74nd42vfhnympsz5kn8p3adh5,0,,,,,,,,,,,0
gonka123vh2t9er866647lsn6kclt8lfq2l9kwy4le76,,0E-9,,,,,,,,,,0E-9
gonka123fment8nj6mrekwv9rh5zmevxjd7t05c8azrd,,0E-8,0,,,,,,,,,0E-8
gonka10ux22dq9a5dn5t4v370vzkww874yc6pmudxjen,0,0E-9,0,,,,,,,,,0E-9
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,0E-9,0,,,,,,,,0E-9
gonka10cyq8zuplcwr5ntesxn52wp5ky3a7c3nrqdce8,0E-9,0,,,,,,,,,,0E-9
gonka107et3r7gxsrkce7wq42jjf5k98r5xvsfy6xsn5,,0,,,,,,,,,,0
gonka100xav7dpl82gxrtg72yjhpz2zn6f24gv035ted,0,0E-9,0,,,,,,,,,0E-9
gonka1qu9mna5xlvlnw9455ygtjq92wuzkzm237w8l08,0E-9,0E-7,-133.97491248,0E-9,0E-9,0E-8,0.808551428,0E-9,0E-9,4.735663281,0E-9,-128.430697771
gonka1fc9tzt83dgrqswlgay4668cuqjrk7zsqks2vm2,0E-9,-84.711897924,-87.360770182,32.128665037,0E-9,0E-8,0E-9,0E-9,0E-9,0E-9,1.448782864,-138.495220205
gonka1qwfrtz9c7kcrfkrrlne2pkcye74mj6ce33xdkl,0E-9,0E-9,-214.490249177,0,0E-9,0E-9,0E-9,0E-9,0E-8,8.078484422,1.931710486,-204.480054269
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,0E-9,0E-9,-343.249593288,126.506618585,0,,,,,,,-216.742974703
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,-410.619126798,0E-9,162.334565486,0,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-8,-248.284561312
gonka1gyk0aahvr3qeju4zx0nplfreej6cy4jjk8svc5,0E-9,-134.337897827,-138.538534803,0,,0E-9,0E-7,0.424774655,0E-9,0E-9,3.139029540,-269.312628435
gonka17gpuntq09zsaqtmpe544gc32tk4424dwv5t34f,-278.734623658,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,0E-9,-278.734623658
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,0E-9,-336.002789153,0E-9,0,,,,,,,,-336.002789153
gonka1p2lhgng7tcqju7emk989s5fpdr7k2c3ek6h26m,0E-9,-198.187910441,-204.385085462,0,0E-9,0E-9,0E-9,0E-9,0.695959336,3.899957997,2.656101919,-395.320976651
