address,epoch_245_poc_slot_allocation_weight,epoch_246_poc_slot_allocation_weight,epoch_247_poc_slot_allocation_weight,epoch_248_poc_slot_allocation_weight,epoch_249_event_1_preserved_weight,epoch_249_event_2_preserved_weight,epoch_249_event_3_preserved_weight,epoch_250_event_1_preserved_weight,epoch_250_event_2_preserved_weight,epoch_251_event_1_preserved_weight,epoch_251_event_2_preserved_weight,epoch_252_event_1_preserved_weight,epoch_252_event_2_preserved_weight,epoch_252_event_3_preserved_weight,epoch_253_event_1_preserved_weight,epoch_253_event_2_preserved_weight,epoch_254_event_1_preserved_weight,epoch_254_event_2_preserved_weight,epoch_254_event_3_preserved_weight,epoch_254_event_4_preserved_weight,epoch_255_event_1_preserved_weight,epoch_255_event_2_preserved_weight,epoch_255_event_3_preserved_weight,epoch_255_event_4_preserved_weight,total_preserved_event_weight
gonka125xgn4z89quhrjhv6qfgn83wqwlaykxs8upjrt,1484,1484,,,,,,,,,,,,,,,,,,,,,,,2968
gonka10snluhflqhmwl5xrpuy9ugevypxdjjsft370fq,685,685,,1570,,,,,,,,,,,,,,,,,,,,,2940
gonka105qfr38n0rz0d2r8hererw9ws5qx7njcujezvu,2767,,,,,,,,,,,,,,,,,,,,,,,,2767
gonka15sptlamre9vq4m5t7pa7je5r2pc34kmlwvj0jz,2743,,,,,,,,,,,,,,,,,,,,,,,,2743
gonka10g4ak0ku3lezt0q3kk346updcyyz83369pqtgx,,2642,,,,,,,,,,,,,,,,,,,,,,,2642
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,2571,,,,,,,,,,,,,,,,,,,,,,,,2571
gonka1m27e6qup7q8jmvnrn29kahd7vlx6r4l84z4thz,,,,2544,,,,,,,,,,,,,,,,,,,,,2544
gonka188qynuf5zs5966vzlrf2q2tj7h7laa995vrxr3,,2452,,,,,,,,,,,,,,,,,,,,,,,2452
gonka1elw9xd79mpsrt7jqwkweg6yv02nvda49xhcej2,2408,,,,,,,,,,,,,,,,,,,,,,,,2408
gonka1hytku6t3cfd7wppyrjvu357jjqpsgsw6wcprcy,2307,,,,,,,,,,,,,,,,,,,,,,,,2307
gonka1w29nvdy6caqtrw30whz9h6ghl0xszwh3egndah,,,,,,,,,,247,247,,247,,247,,247,247,247,,,237,237,,2203
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,2196,,,,,,,,,,,,,,,,,,,,,,,,2196
gonka10kjjhgzngn2yj9fgrcfu4wf5lj6xv05u7xhz53,2065,,,,,,,,,,,,,,,,,,,,,,,,2065
gonka1k6p754pyhxud2399knyccgjpjvdafj2u9xlgyf,,1063,,984,,,,,,,,,,,,,,,,,,,,,2047
gonka1gt0406jz45mjt0jujqtfd3m9lcyah93t0wj084,1772,,,,,,,,,,,,,,,,,,,,,,,,1772
gonka1jcxsgcnctv69xd9v35qy45m45pg3wwhn0f8pl2,1770,,,,,,,,,,,,,,,,,,,,,,,,1770
gonka19qkysq3adu5lrasgvgy7ecd78erz7jndye92jv,1739,,,,,,,,,,,,,,,,,,,,,,,,1739
gonka1nkzdygk3g2p2usnueuqxyep3462350hgzxs86s,,,,1670,,,,,,,,,,,,,,,,,,,,,1670
gonka12av9up884t9lcsf70rs0l7jfmkmc8k9sxfuknt,833,833,,,,,,,,,,,,,,,,,,,,,,,1666
gonka1usmu5mfu8vsafvsrsvdutl50vy8kumdhv0j2x9,,,,1650,,,,,,,,,,,,,,,,,,,,,1650
gonka15rvksn9gxgpszyr8270cd4wj2x3d460r394uv4,,,1650,,,,,,,,,,,,,,,,,,,,,,1650
gonka13kd0e5393704ummmwf7pqvphlm5qsqdpe3kal2,1637,,,,,,,,,,,,,,,,,,,,,,,,1637
gonka1vcawx5jc2hahydd9sqw30hlxyd9ppupm9ez0yz,,,,1620,,,,,,,,,,,,,,,,,,,,,1620
gonka15pgw0fe32rv78hdj2clch9acy0mv08j7xkrmxz,1620,,,,,,,,,,,,,,,,,,,,,,,,1620
gonka1qx4f2vzhccv0ndhssfgafvf55xf4smuzjmkvky,,1559,,,,,,,,,,,,,,,,,,,,,,,1559
gonka12kqft8tme0z5zm6skx8zwja7aq8knqc0udfcwp,1501,,,,,,,,,,,,,,,,,,,,,,,,1501
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,,,,,,,,1498,,,,,,,,,,,,,,,,,1498
gonka163ug8zucqeag9v5ey4au34jqt7vejkmxsg74eu,,,,,,,,,1489,,,,,,,,,,,,,,,,1489
gonka10t67f5zxh7canhuznxg7cperec6286jjqh5pey,421,421,421,,,,,,,,,,,,,,,,,,,,,,1263
gonka1p60lruhxmwcsa9taa28cp4k4f6kv2kvyu5h5ep,,,1053,,,,,,,,,,,,,,,,,,,,,,1053
gonka1qnj39ysxpzknvrr5dw9rdl7cx5q7dpkwerryrs,,,,,,,,,,,,,,,,,,,,,,,,1031,1031
gonka1pvkv59e72vju2h7s9j3ex62c5xneqey350vpwn,,587,,,,,,,,,,,,,,,,,,,,,,,587
gonka1l0qv64xdu3dk2zzm5vk97j0drcmkus95u50gqk,,,,576,,,,,,,,,,,,,,,,,,,,,576
gonka10jjrlvkfkqupgudz0l603sq99y3wkt3urwjm0x,,,,447,,,,,,,,,,,,,,,,,,,,,447
gonka1yukev873tps58s6rlkh6czs5rrqp2sdqw7pm58,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1yt2s5u5k06rm2au8dsqm4kzwmw7klqsrd6xd95,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1yrfq267gf5jz76m3j5sln7f5h00t9g6fmat4gp,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ym8g5f34h5zu4p4d4ldjnycfkty9qxpmyx5a3m,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1yewc6rmr5zhcpy6dnpt4wup990j299qt03x40s,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1yal0ysgzc860zt3y8cds8656tnueusgymftvkw,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1y4kyhqy022gt4kklxxflgqkutnx96ssww66zg6,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1xwkesaxvdadh9wt9yyladu0r260s7whklcktds,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1xmgcpaw6n57ewn6s2fhggxaakemaaxuv4pdpmq,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1xfg6ed596n8ka7tjp7j604prf5n4mgv3h9d02t,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1x20c5d9wzatlr0t69xjm05x9uemq9mnk00udfa,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1wzujgkw64xvz3vqttg7ktl5tlsdga7l53g6d55,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1wkgawwdzj623ss8eywayzdj6qcgr2llygactje,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1wfn87ruutktth7l8ne3rvhmlsscqxah09kua02,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1vz2jg42w39l63dmvmjqdsnxx0ywnzt9nzypdy7,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1vcvn2p5gczr5pynqq0ca0933tdrf5w64sjgtdg,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1upq4e3ahzea8mu5mhrdptff94xru98lx47h43z,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1uhqpup9fev3zahlx6n326lp0krznc6usjtx6lu,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1uawu7tlxcuss8xk9m63fpjm86y58chsg5xwsjt,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1tl5m3vuqsx333v7095ymwjdc4vdk2wd9r5hqws,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1t8p0tjqls358gmzvd3rnnjulraq2k3m772vnt8,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1sq6myvv8r263v4ll5l3ny790nsg5s4507crtqr,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1sa32xmpxvv7nepfc22004rgdl4ddjvne42guce,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1s43peau7vafujfxyape603yklhdzjh2stq702z,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1qv2dwvqxt542k5ewhggm2wtcpadvzg6mzupzg8,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1qsuduuah26qpym3te4tr6u8lh3hmecaxn9j7te,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1pcu4wfdv2jtpfsnhgjk4zp7d46z47928xj73st,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1p3hklp6flhdffdkwr70azcsum77fha3ecqwgg0,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1nvvrc06zpk7cwmrekehlr8yqw4mgdfq94dc4ay,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1mmlyd5xxu5l68yx8wzclrkxkxvm88mhq5tp5s0,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1mdy7nlecw4xaqdxmeh3qlqzakg9ftge9szfqgg,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1lyc347ysjruw7hvvejekqwu0y62cq0898dzarl,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1lwl6qhrdqw43sqc2y4eclfrngf799rnm7mmx87,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1l7p83akwkcxtksnwve23x5wp47zammznm4qus8,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1l6pp6p5hgaa69rj0eazn73f7gkawue94fq5v9g,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1l0enytn32rklk95dxrdt3v39hktxdw79trvgj5,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1kdmstpljv33v8lz457lmj8f9g995l7ygwm460s,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1jrgm47v5eg876udmzg6j6glqcsd5x0vk6crpax,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1jcelp2ad2x0jf2vnyhkhd6wquug0zpd09sxxw4,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1fwjwxw6cvspwautdrhr2jf4mfayy074t5npwnx,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1fvly5jrewyjmjfgwah3khy9rttq4cqajcesv9p,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1f0u3y2wneer8zhz3ypw4x54h38cpa0qsy8ts3e,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1edyd5lny4esrc35f6egjukmnfseyyyj4vn54mc,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ecercvenlsnghx4yakvdpdq2mantyh5ythhn29,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1e94a7r2tn3n8ewa3mha3vjnq2dkvgt5stfqgqg,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1e38cgywjkf4hejnf9utmpguq3qug0s5rd45kqm,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1dzdmx5ljrwkelrmgd7suv2q43epn293qacpgqn,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1dhn7hjn6udpyv6gkhfulnalufv4947a4e9kyne,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1d7ghexkrnm00fh695zcd00xgfgwxe2vvamcsdt,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1975m3w08ywrc89aqcr9m8z6z70a38jf64vwte8,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18tm9tu9rak460pjdpj6xvfeffk474h6xhgme3c,,,,,,,,,,,,,,,,,,,,,,,,,
gonka17akw9frq5grupdh9fwtc4mym3fgcujf9esdmta,,,,,,,,,,,,,,,,,,,,,,,,,
gonka175dvjafzhfxwgvrj83cm9ekmgh2a4u7nqv4azu,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14wp5g2auyarncnwk6ufl8stmyrlgzx0l0d3f80,,,,,,,,,,,,,,,,,,,,,,,,,
gonka14g78ez2zy08k8sssue483zmfpgd4qut8zcwlqc,,,,,,,,,,,,,,,,,,,,,,,,,
gonka13jelpte0qx5f0up3pzmmgnnqj5877rwfs08n7q,,,,,,,,,,,,,,,,,,,,,,,,,
