address,current_status,epoch_220,epoch_221,epoch_222,epoch_223,epoch_224,epoch_225,epoch_226,epoch_227,epoch_228,epoch_229,epoch_230,epoch_231,epoch_232,epoch_233,epoch_234,epoch_235,epoch_236,epoch_237,epoch_238,epoch_239,epoch_240,epoch_241,epoch_242,epoch_243,epoch_244,epoch_245,epoch_246,epoch_247,epoch_248,epoch_249
gonka18x3y80uu9s53lewvt0eu6tgc9rrvaht7yqzmw4,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18xeqnspxpg2vncufnjne485rkaagwvz7whyn0d,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka18zmmjk9799qeu7s2cku5yh3ty6xayxds7n42gh,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1975m3w08ywrc89aqcr9m8z6z70a38jf64vwte8,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19akvnwa3dvw8zkthcm36vegvwmymkr3hxq0qve,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19cjm4c5mt3j3qdr8vhytmm4hef3pnkvkm0x7m2,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19dh0tamdjnhtccfdpmsnty3gxfpp0wkdusl0xr,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19dqylqjzp4x04mkktz067l4exrcrg8g7777777,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19f9hkpmjaldncsfly4j63sy932y8hughn4l3d8,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19ghzvgfr065s3fr5awuvs3nhy9fq4n7wrr9kel,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19gua58wyw5q5r2zqfnzj8srrftk4wy5kewszue,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19kue8dlczfr0vl94tta3l9k5s08hwuu0zd5ewv,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19pe5zksljpfjydt64xz5yv7jxsr3cn2tqt8k9r,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19qkysq3adu5lrasgvgy7ecd78erz7jndye92jv,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19qz97dxgwgfzedtf8yzwzy43quwlggmq33hnuw,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19s3wpdecq3znh7gflv5xax06p96s2uv3qdrtup,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19sftyj72xf8g4kulg7jngvfacw07a8yu0yrjrm,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19teuc4q23h48m2ser9aqll9nactthfkcs9meke,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19tq260hnd4y83q9m7nk6q5yc9xenesukvznak4,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19u7w9jek8y5nj7qzssm3x6a8p2ukmrxrust6qs,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19w0rclzvhpt0h9skdptfpaz5jw2t80ml2geuw9,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19xy6zmvpu9x4cyhnuryd3c8c4q8t9v5guj3hzl,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka19zknn9ru6fypu7r35lctgqkgc5keusuw7qpdez,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1a6jjdd2ufn7x5qpp56627pk40sneqwyl989444,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1a8dz4xw9xwwe0s3myandm6t0v4kvwea7pwrsmq,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1a8u5zzrmhhdz7hp4gk3lmpltrwq90ley2cn5ef,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1aazyzjuywye4530acgjgw0stu4ydpt9hv4afut,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ad56r73l5z92x9f3qe7e52q0jckmg9ytmghp87,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ad7al35f74hdlwl5vzmqla4gg3zlajthqsyeva,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1agm0r4kk6z26utxj4a5xqztgzq8pq0jqcc6yqk,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1amlmhjym02shahjv8ldmupg4cx0qc66q6f85rj,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1amqg6l5eshydfnhlyhncshducrfnrde58rsmrh,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1at7qj6ynelhp9kc3mgkw94m8j6jhrfh8wxse4n,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1au9qsemsqtng83kf3nfac38gqe0c0f9qslw750,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1aumu6ctfvp6hdccmcvrhrz8ete926zleyhacr5,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1awufch9x3slh9h9t3exa36r23rwjknswldce09,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ays6epuyqejjj0fxgj9lx9mxv42q3ac64y28sp,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1c3jmrfkysvrlgv9av98wlyq4yed3x7uue0wvy2,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1c6y9p4w87equy52va4us3qzycz9w28ua9693gl,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1c7wr8u3j78dfd2jmymzq3c3a2gzx75g2s682dl,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1ccdm8j6sjyhq4qask049dwgaczs7f3pxte6zmp,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1cckj93kp9kegry64scpn4ew9965g3qrswyshl9,INACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gonka1cenhl8aucrr06z5wtprdpaxa0dutzt90rgkt99,ACTIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
